When: 2025-11-08 12:39:55 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-08 12:39:57	 395	 448	752	128	 91.41	 0	-1 	0
2025-11-08 12:39:58	 430	 495	747	128	 14.06	 0	-1 	0
2025-11-08 12:39:59	 465	 522	747	128	 4.22	 4	0 	0
2025-11-08 12:40:00	 500	 697	720	128	 202.50	 0	-1 	0
2025-11-08 12:40:01	 535	 637	669	128	 180.00	 -4	-2 	0
2025-11-08 12:40:02	 570	 391	662	23	 174.38	 -11	1 	0
2025-11-08 12:40:03	 605	 410	678	16	 357.19	 13	0 	0
2025-11-08 12:40:04	 640	 604	662	112	 28.12	 1	0 	0
2025-11-08 12:40:05	 675	 768	828	128	 92.81	 2	0 	0
2025-11-08 12:40:06	 710	 597	790	128	 92.81	 -12	1 	0
When: 2025-11-08 12:40:06 Episode: 1 Map: 3
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-08 12:40:08	 746	 1986	3502	0	 161.28	 1	-1 	0
2025-11-08 12:40:10	 820	 1994	3500	0	 161.28	 -3	0 	0
2025-11-08 12:40:11	 855	 1960	3512	0	 115.58	 -1	0 	0
2025-11-08 12:40:13	 933	 2063	3545	0	 4.83	 0	0 	0
2025-11-08 12:40:23	 1268	 2051	3548	0	 349.01	 -1	0 	0
2025-11-08 12:40:25	 1335	 2181	3523	0	 354.29	 2	-1 	0
2025-11-08 12:40:26	 1370	 2220	3515	-64	 354.29	 0	-1 	0
2025-11-08 12:40:27	 1415	 2296	3442	-64	 315.62	 5	-6 	0
2025-11-08 12:40:28	 1450	 2362	3377	-64	 310.34	 0	-1 	0
2025-11-08 12:40:30	 1516	 2326	3336	-64	 233.00	 -1	-1 	0
2025-11-08 12:40:31	 1551	 2331	3224	-64	 276.94	 0	-8 	0
2025-11-08 12:40:35	 1695	 2326	3241	-64	 115.58	 -3	4 	0
2025-11-08 12:40:36	 1730	 2304	3318	-64	 177.10	 0	0 	0
2025-11-08 12:40:37	 1765	 2142	3329	-64	 143.70	 -3	0 	0
2025-11-08 12:40:39	 1824	 2128	3424	-16	 108.54	 -1	5 	0
2025-11-08 12:40:42	 1944	 2116	3551	0	 13.62	 1	0 	0
2025-11-08 12:40:43	 1979	 2266	3565	-64	 13.62	 1	0 	0
2025-11-08 12:40:45	 2044	 2290	3503	-64	 303.31	 1	-4 	0
2025-11-08 12:40:46	 2079	 2345	3408	-64	 259.37	 0	-1 	0
2025-11-08 12:40:47	 2123	 2327	3406	-64	 166.20	 -4	0 	0
2025-11-08 12:40:48	 2158	 2218	3382	-64	 206.63	 -7	-4 	0
2025-11-08 12:40:49	 2193	 2128	3316	-64	 141.59	 0	-1 	0
2025-11-08 12:40:50	 2235	 2128	3392	-32	 106.44	 -1	6 	0
2025-11-08 12:40:51	 2270	 2117	3551	0	 69.52	 -1	0 	0
2025-11-08 12:40:53	 2348	 2126	3551	0	 9.76	 0	0 	0
2025-11-08 12:40:54	 2383	 2262	3569	-64	 9.76	 2	-1 	0
2025-11-08 12:40:55	 2418	 2272	3540	-64	 325.81	 0	-1 	0
2025-11-08 12:40:57	 2473	 2310	3456	-64	 294.17	 2	-7 	0
2025-11-08 12:40:58	 2508	 2356	3352	-64	 269.56	 0	-1 	0
2025-11-08 12:40:59	 2543	 2339	3296	-64	 259.01	 -2	-1 	0
2025-11-08 12:41:00	 2578	 2313	3227	-64	 331.08	 -1	-1 	0
2025-11-08 12:41:01	 2617	 2343	3217	-64	 348.66	 3	-1 	0
2025-11-08 12:41:02	 2652	 2522	3210	0	 348.66	 7	-2 	0
2025-11-08 12:41:05	 2767	 2663	3177	0	 216.83	 -3	-3 	0
2025-11-08 12:41:06	 2802	 2613	3140	0	 153.54	 -1	-1 	0
2025-11-08 12:41:10	 2923	 2610	3134	0	 67.41	 -1	-1 	0
2025-11-08 12:41:11	 2977	 2629	3182	0	 67.41	 2	5 	0
2025-11-08 12:41:13	 3019	 2671	3290	0	 46.32	 0	2 	0
