When: 2025-11-06 11:08:11 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:10:07	 4269	 2691	3068	40	 315.00	 1	-2 	15
2025-11-06 11:10:08	 4304	 2766	2993	40	 30.59	 0	-1 	15
2025-11-06 11:10:10	 4365	 2711	2995	40	 183.52	 -4	0 	15
2025-11-06 11:10:11	 4400	 2671	2998	40	 296.02	 -1	0 	15
2025-11-06 11:10:15	 4529	 2715	2855	40	 287.23	 2	-8 	15
2025-11-06 11:10:16	 4564	 2721	2879	40	 287.23	 -2	4 	15
2025-11-06 11:10:17	 4599	 2708	2898	40	 271.41	 0	-6 	15
2025-11-06 11:10:18	 4634	 2711	2782	40	 315.35	 0	-1 	20
2025-11-06 11:10:19	 4669	 2743	2745	40	 311.84	 0	-1 	20
2025-11-06 11:10:22	 4801	 2671	2729	40	 181.76	 -7	-1 	20
2025-11-06 11:10:23	 4836	 2396	2741	40	 151.88	 -8	1 	20
2025-11-06 11:10:25	 4900	 2376	2782	40	 358.95	 5	-1 	20
2025-11-06 11:10:26	 4935	 2434	2781	40	 339.61	 0	-1 	20
2025-11-06 11:10:29	 5039	 2553	2758	40	 0.70	 7	-2 	20
2025-11-06 11:10:30	 5074	 2735	2788	40	 13.01	 0	0 	20
2025-11-06 11:10:31	 5109	 2753	2773	40	 346.64	 4	-2 	20
2025-11-06 11:10:32	 5144	 2950	2767	40	 350.16	 2	0 	20
2025-11-06 11:10:33	 5179	 2972	2770	40	 293.91	 0	0 	20
2025-11-06 11:10:37	 5310	 2775	2783	40	 172.62	 -9	0 	20
2025-11-06 11:10:38	 5345	 2713	2783	40	 132.19	 -1	0 	20
2025-11-06 11:10:39	 5381	 2713	2860	40	 88.24	 0	6 	15
2025-11-06 11:10:40	 5416	 2718	3032	40	 128.67	 0	0 	15
2025-11-06 11:10:41	 5451	 2667	3062	40	 158.55	 -5	1 	15
2025-11-06 11:10:42	 5504	 2640	3080	40	 111.09	 -1	1 	15
2025-11-06 11:10:43	 5539	 2604	3205	0	 126.91	 -1	1 	0
2025-11-06 11:10:46	 5633	 2599	3209	0	 249.96	 -2	-4 	0
2025-11-06 11:10:47	 5668	 2503	3088	0	 188.44	 -6	-1 	0
2025-11-06 11:10:48	 5703	 2304	3123	0	 105.82	 -1	3 	0
2025-11-06 11:10:49	 5738	 2314	3239	-54	 100.55	 0	1 	0
2025-11-06 11:10:50	 5775	 2316	3256	-64	 133.95	 -1	0 	0
2025-11-06 11:10:51	 5810	 2260	3364	-64	 188.44	 -2	1 	0
2025-11-06 11:10:53	 5868	 2249	3375	-64	 267.54	 -1	-3 	0
2025-11-06 11:10:54	 5903	 2207	3245	-64	 244.69	 -4	-6 	0
2025-11-06 11:10:55	 5938	 2141	3106	-64	 334.34	 -1	-1 	0
2025-11-06 11:10:56	 5973	 2208	3092	-64	 341.37	 -3	1 	0
2025-11-06 11:10:57	 6008	 2136	3155	-64	 0.70	 0	1 	0
2025-11-06 11:10:58	 6043	 2207	3242	-64	 53.44	 4	4 	0
