                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x78c069ef7010, 2000000 allocated for zone
Using /home/estudiante/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/estudiante/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM2.WAD
===========================================================================
                         DOOM 2: Hell on Earth
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Doom 1.9' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-06 18:39:14 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 18:40:32	 3016	 594	234	96	 2.81	 -3	-3 	3
2025-11-06 18:40:33	 3064	 528	192	96	 70.31	 -1	-1 	3
2025-11-06 18:40:35	 3115	 531	191	160	 351.56	 2	-1 	3
2025-11-06 18:40:36	 3150	 708	14	160	 277.03	 2	-7 	0
2025-11-06 18:40:37	 3185	 767	-12	160	 271.41	 1	-2 	0
2025-11-06 18:40:38	 3220	 760	60	160	 255.94	 -1	0 	0
2025-11-06 18:40:39	 3255	 714	58	160	 279.84	 0	-10 	0
2025-11-06 18:40:40	 3290	 726	-102	184	 291.09	 -2	-5 	0
2025-11-06 18:40:41	 3325	 807	103	160	 258.75	 3	13 	0
2025-11-06 18:40:42	 3360	 646	50	160	 241.88	 -10	-11 	0
2025-11-06 18:40:43	 3395	 533	-212	96	 9.84	 0	-3 	0
2025-11-06 18:40:44	 3430	 529	-212	96	 46.41	 -3	-6 	0
2025-11-06 18:40:45	 3465	 598	-154	96	 59.06	 9	6 	0
2025-11-06 18:40:46	 3500	 743	-105	96	 243.28	 5	1 	0
2025-11-06 18:40:47	 3535	 735	-158	96	 209.53	 4	0 	0
2025-11-06 18:40:48	 3570	 791	-105	96	 203.91	 0	1 	0
2025-11-06 18:40:50	 3635	 777	-142	96	 205.31	 -1	-7 	0
2025-11-06 18:40:51	 3670	 789	-168	96	 143.44	 0	0 	0
2025-11-06 18:40:52	 3705	 668	-152	96	 288.28	 -6	2 	0
2025-11-06 18:40:53	 3740	 592	-198	96	 302.34	 5	-10 	0
2025-11-06 18:40:54	 3775	 648	-303	96	 290.70	 0	-1 	0
When: 2025-11-06 18:41:06 Episode: 1 Map: 26
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 18:41:08	 4198	 160	-41	0	 90.00	 0	-1 	1
2025-11-06 18:41:09	 4236	 105	-40	0	 90.00	 -3	0 	1
2025-11-06 18:41:10	 4271	 32	-15	0	 85.78	 -1	4 	1
2025-11-06 18:41:11	 4306	 31	103	0	 88.59	 -1	-4 	1
2025-11-06 18:41:12	 4341	 272	11	0	 88.59	 5	-1 	1
2025-11-06 18:41:13	 4376	 313	72	0	 71.72	 -1	-2 	1
2025-11-06 18:41:14	 4411	 259	87	0	 57.66	 -2	0 	1
2025-11-06 18:41:15	 4446	 229	113	0	 47.81	 -1	0 	1
2025-11-06 18:41:17	 4504	 227	113	0	 47.81	 0	0 	1
2025-11-06 18:41:18	 4539	 255	-11	0	 46.41	 -2	0 	1
2025-11-06 18:41:19	 4574	 218	88	0	 53.44	 1	1 	1
2025-11-06 18:41:20	 4609	 203	76	0	 52.03	 -1	0 	1
2025-11-06 18:41:21	 4644	 183	44	0	 81.56	 -3	-5 	1
2025-11-06 18:41:22	 4679	 150	104	-32	 88.59	 -1	-3 	1
2025-11-06 18:41:23	 4714	 147	52	-128	 88.59	 -1	-2 	1
2025-11-06 18:41:24	 4749	 -7	121	-128	 14.06	 -1	-1 	1
2025-11-06 18:41:25	 4784	 145	111	-128	 77.34	 1	0 	1
2025-11-06 18:41:26	 4819	 334	85	0	 168.75	 3	-1 	1
2025-11-06 18:41:27	 4854	 166	91	0	 98.44	 -2	-2 	1
2025-11-06 18:41:28	 4889	 145	86	-128	 88.59	 -1	0 	1
2025-11-06 18:41:29	 4924	 191	230	-128	 88.59	 -1	0 	0
2025-11-06 18:41:30	 4959	 173	512	-128	 98.44	 -2	9 	0
2025-11-06 18:41:31	 4994	 179	694	-192	 81.56	 1	-1 	0
2025-11-06 18:41:32	 5029	 167	716	-192	 97.03	 -1	0 	0
2025-11-06 18:41:33	 5064	 155	809	-192	 94.22	 -1	2 	0
2025-11-06 18:41:34	 5099	 144	949	-192	 97.03	 0	-1 	0
2025-11-06 18:41:35	 5134	 150	911	-192	 101.25	 0	-5 	0
2025-11-06 18:41:36	 5169	 155	872	-192	 106.88	 -2	4 	0
2025-11-06 18:41:37	 5204	 -100	947	-192	 182.81	 -9	0 	0
2025-11-06 18:41:38	 5239	 -113	941	-192	 191.25	 -1	3 	0
2025-11-06 18:41:39	 5274	 -127	957	-192	 187.03	 0	0 	0
2025-11-06 18:41:40	 5309	 -115	924	-192	 181.41	 -2	-3 	0
2025-11-06 18:41:41	 5344	 -82	896	-192	 177.19	 -3	0 	0
2025-11-06 18:41:42	 5379	 -296	897	-256	 182.81	 -11	-1 	0
2025-11-06 18:41:43	 5414	 -555	894	-256	 257.34	 2	4 	0
2025-11-06 18:41:44	 5449	 -736	942	-256	 1.41	 -11	-4 	0
2025-11-06 18:41:45	 5484	 -695	902	-256	 2.81	 13	0 	0
2025-11-06 18:41:46	 5519	 -752	919	-256	 2.81	 -4	3 	0
2025-11-06 18:41:47	 5554	 -613	936	-256	 5.62	 13	0 	0
2025-11-06 18:41:48	 5589	 -237	910	-240	 120.94	 3	-4 	0
2025-11-06 18:41:49	 5624	 -311	937	-256	 74.53	 -3	2 	0
2025-11-06 18:41:50	 5659	 -492	953	-256	 47.81	 -6	-1 	0
2025-11-06 18:41:51	 5694	 -621	947	-256	 35.16	 -2	6 	0
2025-11-06 18:41:52	 5732	 -533	899	-256	 1.41	 13	0 	0
2025-11-06 18:41:53	 5767	 -115	906	-192	 0.00	 -5	-1 	0
2025-11-06 18:41:54	 5802	 -320	906	-256	 1.41	 -2	0 	0
2025-11-06 18:41:55	 5837	 -185	909	-224	 1.41	 13	0 	0
2025-11-06 18:41:56	 5872	 -60	921	-192	 358.59	 1	0 	0
2025-11-06 18:41:57	 5907	 121	940	-192	 78.75	 3	3 	0
2025-11-06 18:41:58	 5942	 145	1215	-192	 344.53	 -1	2 	0
2025-11-06 18:41:59	 5977	 152	1148	-192	 350.16	 1	-11 	0
2025-11-06 18:42:00	 6012	 177	1056	-192	 12.66	 -1	-1 	0
2025-11-06 18:42:01	 6047	 183	904	-192	 64.69	 0	-4 	0
2025-11-06 18:42:02	 6082	 170	984	-192	 97.03	 -2	8 	0
2025-11-06 18:42:03	 6117	 162	914	-192	 90.00	 -1	2 	0
2025-11-06 18:42:04	 6152	 212	906	-192	 90.00	 9	-7 	0
2025-11-06 18:42:05	 6187	 140	1085	-192	 54.84	 1	8 	0
2025-11-06 18:42:06	 6222	 175	1167	-192	 1.41	 0	0 	0
2025-11-06 18:42:07	 6257	 193	1098	-192	 88.59	 0	-1 	0
2025-11-06 18:42:08	 6292	 128	1295	-192	 261.56	 0	0 	0
2025-11-06 18:42:09	 6335	 -89	1294	-128	 184.22	 -1	1 	16
2025-11-06 18:42:10	 6370	 -139	1281	-128	 185.62	 -8	-1 	16
2025-11-06 18:42:11	 6405	 -442	1271	-128	 178.59	 -10	0 	16
2025-11-06 18:42:12	 6440	 -502	1295	-128	 337.50	 2	0 	16
2025-11-06 18:42:13	 6475	 -112	1235	-128	 14.06	 12	0 	16
2025-11-06 18:42:14	 6510	 129	1268	-192	 61.88	 7	4 	0
2025-11-06 18:42:15	 6545	 201	1455	-176	 354.38	 2	0 	0
2025-11-06 18:42:16	 6580	 201	1426	-176	 4.22	 1	-1 	0
2025-11-06 18:42:17	 6615	 222	1443	-176	 358.59	 2	0 	0
2025-11-06 18:42:18	 6650	 247	1443	-168	 358.59	 -1	0 	0
2025-11-06 18:42:19	 6688	 243	1443	-168	 0.00	 0	-1 	0
2025-11-06 18:42:20	 6723	 144	1403	-176	 357.19	 0	-5 	0
2025-11-06 18:42:21	 6758	 291	1450	-168	 355.78	 8	-1 	0
2025-11-06 18:42:22	 6793	 603	1424	-168	 275.62	 3	2 	0
2025-11-06 18:42:23	 6828	 610	1214	-168	 267.19	 -1	-15 	0
2025-11-06 18:42:24	 6863	 601	1049	-168	 267.19	 -1	-1 	0
2025-11-06 18:42:25	 6898	 623	1161	-168	 178.59	 0	0 	0
2025-11-06 18:42:26	 6933	 623	1198	-168	 178.59	 -1	-5 	0
2025-11-06 18:42:27	 6968	 489	1078	-195	 188.44	 -11	-3 	0
2025-11-06 18:42:29	 7023	 516	737	-72	 216.56	 -2	-2 	8
2025-11-06 18:42:30	 7058	 456	639	-72	 63.28	 2	3 	8
2025-11-06 18:42:31	 7093	 471	645	-72	 57.66	 4	5 	8
2025-11-06 18:42:32	 7128	 506	838	-72	 212.34	 3	6 	8
2025-11-06 18:42:33	 7163	 558	845	-72	 240.47	 -1	-1 	8
