                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x7e0a7bfa3010, 2000000 allocated for zone
Using /home/estudiante/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/estudiante/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM2.WAD
===========================================================================
                         DOOM 2: Hell on Earth
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Doom 1.9' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-07 10:35:27 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-07 10:37:06	 3772	 159	2390	48	 35.94	 3	2 	0
2025-11-07 10:37:07	 3807	 309	2494	48	 343.21	 1	0 	0
2025-11-07 10:37:08	 3842	 373	2464	48	 265.03	 0	-4 	0
2025-11-07 10:37:09	 3877	 350	2364	48	 263.53	 -2	-10 	0
2025-11-07 10:37:10	 3912	 324	2136	48	 202.01	 -1	-2 	0
2025-11-07 10:37:11	 3947	 235	2170	48	 149.28	 -6	3 	0
2025-11-07 10:37:12	 3982	 82	2287	48	 164.04	 -4	0 	3
2025-11-07 10:37:13	 4017	 23	2287	48	 76.15	 -1	0 	3
2025-11-07 10:37:14	 4052	 47	2364	48	 39.24	 0	1 	0
2025-11-07 10:37:15	 4087	 47	2374	48	 342.99	 0	-1 	3
2025-11-07 10:37:16	 4137	 89	2430	48	 339.47	 0	0 	3
2025-11-07 10:37:17	 4183	 119	2413	48	 316.62	 4	-4 	3
2025-11-07 10:37:18	 4218	 197	2378	48	 230.47	 -2	-4 	0
2025-11-07 10:37:19	 4253	 158	2318	48	 230.47	 -1	-1 	0
2025-11-07 10:37:20	 4288	 144	2271	48	 274.41	 0	-1 	0
2025-11-07 10:37:31	 4676	 148	2205	48	 274.41	 0	-7 	0
2025-11-07 10:37:32	 4711	 169	1939	48	 274.41	 0	-9 	0
2025-11-07 10:37:33	 4746	 191	1651	56	 279.69	 0	-7 	0
2025-11-07 10:37:34	 4781	 259	1572	56	 353.51	 6	-1 	0
2025-11-07 10:37:35	 4816	 431	1545	56	 353.51	 0	-1 	0
2025-11-07 10:37:36	 4851	 439	1567	56	 40.97	 2	3 	0
2025-11-07 10:37:37	 4886	 528	1647	56	 328.90	 0	0 	0
2025-11-07 10:37:38	 4921	 589	1517	56	 293.75	 3	-8 	0
2025-11-07 10:37:40	 4967	 611	1490	56	 83.16	 0	2 	0
2025-11-07 10:37:41	 5002	 634	1701	56	 83.16	 -2	1 	0
2025-11-07 10:37:43	 5069	 652	1680	56	 4.06	 2	-3 	0
2025-11-07 10:37:44	 5104	 719	1596	56	 307.81	 0	-4 	0
2025-11-07 10:37:45	 5139	 604	1488	56	 212.89	 -4	-1 	0
2025-11-07 10:37:46	 5174	 494	1577	56	 158.40	 -7	3 	0
2025-11-07 10:37:47	 5209	 408	1605	56	 244.53	 -2	-3 	0
2025-11-07 10:37:48	 5244	 365	1520	56	 274.41	 -1	-3 	0
2025-11-07 10:37:49	 5279	 373	1290	56	 274.41	 0	-9 	0
2025-11-07 10:37:50	 5314	 395	1001	56	 274.41	 0	-9 	0
2025-11-07 10:37:51	 5349	 409	832	40	 320.12	 0	-1 	0
2025-11-07 10:37:52	 5384	 401	812	40	 228.71	 -3	-4 	0
2025-11-07 10:37:53	 5419	 240	663	40	 209.37	 -6	-4 	0
2025-11-07 10:37:55	 5506	 198	651	40	 151.37	 -1	0 	0
2025-11-07 10:37:57	 5562	 161	648	40	 167.19	 -2	0 	5
2025-11-07 10:38:02	 5762	 90	679	152	 0.54	 3	0 	5
2025-11-07 10:38:03	 5797	 180	679	152	 0.54	 1	0 	5
2025-11-07 10:38:06	 5883	 195	679	152	 207.62	 -2	-1 	0
